treatment;ID;morphospecies;sindrome;ID_SEED;month;abundance;forest_fragment;seed_diameter;seed_length;;;;;;;;;;;;;;;
live_tree 01;145;Pera glabrata;zoochooric;8;novembro;3;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 01;146;morfo 18;anemochorous;40;dezembro;2;1;3.673333333;3.623333333;;;;;;;;;;;;;;;
live_tree 01;147;virola sp morfo 19;zoochooric;41;dezembro;1;1;22.29;29.3;;;;;;;;;;;;;;;
live_tree 01;148;morfo 44;anemochorous;72;fevereiro;1;1;3.548333333;3.553333333;;;;;;;;;;;;;;;
live_tree 01;149;Cecropia sp;zoochooric;11;dezembro;108;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 01;150;Cecropia sp;zoochooric;11;janeiro;193;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 01;151;Cecropia sp;zoochooric;11;março;158;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 01;152;asteraceae;anemochorous;5;abril;17;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 01;153;Schinus terebinthifoliu Morfo 42;zoochooric;49;maio;1;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 01;154;Schinus terebinthifoliu Morfo 42;zoochooric;49;Junho;19;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 01;155;Lantana camara (morfo 13);zoochooric;16;julho;1;1;2.752;3.936;;;;;;;;;;;;;;;
live_tree 01;156;morfo 60;zoochooric;93;março;1;1;4.558;12.234;;;;;;;;;;;;;;;
live_tree 01;157;morfo 5;zoochooric;37;agosto;1;1;5.934;7.99;;;;;;;;;;;;;;;
live_tree 01;158;Schinus terebinthifoliu Morfo 42;zoochooric;49;setembro;1;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 01;159;Lantana camara (morfo 13);zoochooric;16;setembro;1;1;2.752;3.936;;;;;;;;;;;;;;;
live_tree 01;160;Cecropia sp;zoochooric;11;outubro;5;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 02;161;Pera glabrata;zoochooric;8;novembro;1;1;4.299;6.082;;;;;;;;;;;;;;;
live_tree 02;162;asteraceae;anemochorous;2;janeiro;2;1;1.01;4.348;;;;;;;;;;;;;;;
live_tree 02;163;Cecropia sp;zoochooric;11;janeiro;1;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 02;164;Cecropia sp;zoochooric;11;março;143;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 02;165;Cecropia sp;zoochooric;11;abril;23;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 02;166;morfo 38;zoochooric;64;janeiro;2;1;1.5425;2.3125;;;;;;;;;;;;;;;
live_tree 02;167;morfo 46;zoochooric;46;fevereiro;1;1;6.93;9.41;;;;;;;;;;;;;;;
live_tree 02;168;morfo 56;anemochorous;88;março;1;1;2.771666667;2.903333333;;;;;;;;;;;;;;;
live_tree 02;169;morfo 36;zoochooric;62;maio;5;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 02;170;morfo 55;zoochooric;87;maio;1;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 02;171;morfo 55;zoochooric;87;junho;6;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 02;172;morfo 78;zoochooric;107;maio;2;1;3.415;4.778333333;;;;;;;;;;;;;;;
live_tree 02;173;Schinus terebinthifoliu Morfo 42;zoochooric;49;junho;44;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 02;174;morfo 8;anemochorous;25;março;127;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 02;175;morfo 8;anemochorous;25;julho;19;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 02;176;morfo 8;anemochorous;25;agosto;6;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 02;177;morfo 8;anemochorous;25;outubro;12;1;2.407;3.809;;;;;;;;;;;;;;;
live_tree 02;178;Cecropia sp;zoochooric;11;outubro;3;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;179;Cecropia sp;zoochooric;11;novembro;20;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;180;Cecropia sp;zoochooric;11;dezembro;5;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;181;Cecropia sp;zoochooric;11;fevereiro;2;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;182;Cecropia sp;zoochooric;11;março;3;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;183;Cecropia sp;zoochooric;11;abril;3;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;184;Cecropia sp;zoochooric;11;maio;9;1;1.008;1.616;;;;;;;;;;;;;;;
live_tree 03;185;Sebastiana (Euphorbiaceae);autochorous;45;dezembro;2;1;6.076;8.164;;;;;;;;;;;;;;;
live_tree 03;186;morfo 37;autochorous;63;janeiro;12;1;6.259;6.443;;;;;;;;;;;;;;;
live_tree 03;187;morfo 51;autochorous;81;fevereiro;4;1;2.3675;2.985;;;;;;;;;;;;;;;
live_tree 03;188;morfo 36;zoochooric;62;março;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 03;189;morfo 36;zoochooric;62;maio;1;1;2.486;5.815;;;;;;;;;;;;;;;
live_tree 03;190;Lantana camara (morfo 13);zoochooric;16;maio;1;1;2.752;3.936;;;;;;;;;;;;;;;
live_tree 03;191;morfo 55;zoochooric;87;maio;3;1;2.071;2.349;;;;;;;;;;;;;;;
live_tree 03;192;Schinus terebinthifoliu Morfo 42;zoochooric;49;maio;15;1;3.696;3.161;;;;;;;;;;;;;;;
live_tree 03;193;morfo 74;zoochooric;114;julho;3;1;5.685;5.225;;;;;;;;;;;;;;;
live_tree 03;194;morfo 5;zoochooric;22;agosto;1;1;5.934;7.99;;;;;;;;;;;;;;;
live_tree 03;195;Sebastiana (Euphorbiaceae);autochorous;45;outubro;2;1;6.076;8.164;;;;;;;;;;;;;;;
